,short_name,amount,org_form
0,X5 Group,3009700000000.0,7
1,Черкизово,11000000000.0,7
2,BIOCAD,50500000000.0,2
3,Hoff,66000000000.0,6
4,Яндекс Райдтех,122200000000.0,6
5,Крок,32920300000.0,4
6,Nebius,13000000000,5
7,Click2Money,763800000.0,6
8,Pay365,55300000.0,6
9,OZON,3534200000.0,6
10,РСХБ,95700000000.0,2
11,Хеликон,9331700000.0,6
12,Cloud.ru,14599999999.999998,6
13,Самолёт,19700000000.0,7
14,Яндекс Маркет,780000000000,5
15,Яндекс.Cloud,780000000000,5
16,IVI,15500000000.0,6
17,Banki.ru,3524800000.0,6
18,585 RPO,29229100000.0,6
19,Сбер Еаптека,30700000000.0,6
20,Информзащита,4554400000.0,2
21,Onpoint,267400000.0,6
22,Food Rocket,98300000.0,6
23,Loymax,351800000.0,6
24,EggHeads,607100000.0,6
25,Брусника,34300000000.0,6
26,Amdocs,7647100000.0,6
27,ЮЛаки,15600000.0,6
28,Fun&Sun,79700000000.0,6
29,nil.foundation,1558000.0,0
30,Brand Analytics,8684000.0,6
31,М.Видео – Эльдорадо,196300000.0,7
32,Equifax,6100000000.0,2
33,Mercury,3999999999.999998,6
34,МТС Банк (Аутсорс),78800000000.0,7
35,МТС (Аутсорс),427600000000.0,7
36,Хантфлоу,549300000.0,6
37,Papa John's,113000000.0,6
38,Национальная Лотерея,2821000.0,6
39,ЛитРес,6681200000.0,6
40,InDrive,2500000.0,6
41,Просвещение,25000000000.0,2
42,Совкомбанк,14800000000.0,7
43,Национальная Медиа Группа (МСБ),49263000000.0,2
44,ЦБ РФ,632000000000.0,3
45,SRG Group,611700000.0,6
46,Этнамед,246100000.0,6
47,Usetech,755300000.0,6
48,Яндекс. Такси,122200000000.0,6
49,АО Азот-Взрыв,20800000000.0,2
50,PIM Solutions,650200000.0,6
51,Metaship,659300000.0,6
52,Sitronics,15799999999.999998,2
53,4 Лапы,865000000.0,6
54,Ингосстрах,240100000000.0,8
55,Nestle,183800000000.0,6
56,Auxo,93000,6
57,Айтуби,1441100000.0,6
58,Sunlight,60299999999.99999,6
59,Air Liquide,6515300000.0,6
60,Т2,208200000000.0,6
61,Яндекс Академия,3000000000.0,1
62,ТОП Финтех,2500000000000.0,6
63,"ТОП IT (сервисы, интеграторы)",600000000.0,6
64,ТОП Телеком,550000000000.0,7
65,ТОП eCOM,520000000000,6
66,Казино NDA,8800000000,6
67,Hawex,30000000000,6
68,Прочее,100000000,8
69,Glue up,20000000000,6
